    2     5     4.754276176478917e+06
   -3.198759615877932e+04     1.057341233012433e+07     1.769567036288116e+04    -2.924600926924957e+06
   -5.626017366237886e+03     4.434314977046109e+06     3.112348327917191e+03    -1.226543546410261e+06
   -9.895075693209335e+02     1.859669861954770e+06     5.474022145395021e+02    -5.143907655510101e+05
   -1.740351310589180e+02     7.799105689244438e+05     9.627741187995788e+01    -2.157258905768880e+05
   -3.060939068999734e+01     3.270797784793235e+05     1.693332237101915e+01    -9.047137417366235e+04
   -5.383595692458747e+00     1.371710847732878e+05     2.978241635773591e+00    -3.794198688127947e+04
   -9.468696199055263e-01     5.752696339250897e+04     5.238147035808129e-01    -1.591215298501723e+04
   -1.665359069650703e-01     2.412572263571203e+04     9.212880486985725e-02    -6.673256476615108e+03
   -2.929040576991615e-02     1.011787323094865e+04     1.620366190585845e-02    -2.798637601312119e+03
   -5.151596472610081e-03     4.243246538712087e+03     2.849908244862314e-03    -1.173695350699257e+03
   -9.060506689300735e-04     1.779541127851121e+03     5.012432452484116e-04    -4.922246643761710e+02
   -1.593420252114536e-04     7.463146315166932e+02     8.815890249401233e-05    -2.064273307158491e+02
   -2.801054687150691e-05     3.130109576506529e+02     1.550543416014607e-05    -8.656600503326850e+01
   -4.911889095193575e-06     1.313201614183852e+02     2.727106346110066e-06    -3.629056062550842e+01
   -8.492918922036244e-07     5.518980769577839e+01     4.796333355889154e-07    -1.518793607690816e+01
   -1.349971143507167e-07     2.340886474914185e+01     8.411667129933547e-08    -6.308038107375014e+00
   -1.288850676466663e-08     1.015828114798678e+01     1.232839497736220e-08    -2.743980107230492e+00
